structure(list(CpGmarker = c("(Intercept)", "cg00075967", "cg00374717", 
"cg00864867", "cg00945507", "cg01027739", "cg01353448", "cg01584473", 
0.0015, 0.033, 0.013, 0.0091, 0.011, 0.026, 0.0059, 0.014, 1e-04, 
0.0026, 0.0064, 0.013, 0.00027, 0.0036, 0.0036, 0.00014, 0.011, 
0.016, 0.025, 0.00075, 0.0013, 0.019, 0.037, 0.00061, 0.00021, 
0.019, 0.0042, 0.002, 0.049, 0.0015, 0.0035, 0.042, 0.025, 0.018, 
0.0093, 0.0086, 0.0024, 0.0071, 0.0081, 0.022, 0.0018, 0.00013, 
0.012, 0.0026, 0.012, 8.2e-05, 0.01, 0.014, 0.034, 0.01, 0.013, 
0.0016, 0.009, 0.008, 0.0038, 0.00014, 0.0068, 0.029, 0.0065, 
0.0057, 0.0025, 0.00023, 0.00019, 0.00044, 0.017, 0.015, 0.0036, 
0.00099, 0.0053, 0.0021, 0.052, 0.0052, 0.0034, 0.0092, 0.0065, 
0.0075, 0.019, 0.0026, 0.0056, 0.0048, 0.02, 0.00051, 9e-04, 
0.0092, 0.003, 0.014, 0.0026, 0.0083, 0.015, 0.011, 0.031, 0.00085, 
0.0074, 0.00091, 0.0036, 0.0063, 0.0015, 0.0019, 0.019, 0.0062, 
0.026, 0.017, 0.00078, 0.0012, 0.02, 0.0044, 0.052, 0.00012, 
0.00019, 0.022, 0.0028, 0.018, 0.021, 0.011, 0.017, 0.0023, 0.0013, 
0.0066, 0.011, 0.0017, 0.02, 0.0011, 0.00063, 0.0074, 0.021, 
0.00024, 0.027, 0.0052, 0.00091, 0.0027, 0.014, 0.014, 0.003), 
    minByCpG = c(NA, 0.016, 0.0031, 0, 0, 0, 0.0018, 0.0042, 
    0, 0.0033, 0, 0.012, 0, 0, 0.0085, 0, 0.3, 0, 0, 0, 0.0031, 
    0.046, 0.011, 0, 0.0016, 0.026, 0.0015, 0.024, 0.014, 0.01, 
    0, 0.01, 0.09, 0.019, 0.018, 0.002, 0, 0.034, 0, 0.058, 0.0044, 
    0.0035, 0, 0.0026, 0, 0, 0, 0, 0.01, 0, 0.05, 0.0017, 0.047, 
    0, 0.09, 0.025, 0, 0.014, 0, 0.0048, 0.028, 0.0094, 0, 0, 
    0, 0.026, 0, 0.0074, 0, 0, 0.032, 0, 0.027, 0, 0, 0.0057, 
    0.13, 0.0064, 0.0078, 0.014, 0, 0.029, 0.013, 0, 0.027, 0.0083, 
    0.0092, 0, 0.025, 0, 0.0096, 0.013, 0, 0.032, 0.0041, 0.035, 
    0.015, 0.022, 0, 0, 0, 0.052, 0.017, 0, 0.015, 0, 0, 0.031, 
    0, 0.025, 0.062, 0, 0.012, 0.0039, 0, 0.014, 0, 0, 0.01, 
    0.02, 0.013, 0, 0.012, 0, 0, 0.027, 0, 0.0016, 0.014, 0, 
    0, 0, 0.032, 0.029, 0.0056, 0, 0.00099, 0.011, 0, 0, 0, 0.012, 
    0, 0.0016, 0.0031, 0.02, 0, 0, 0.0086, 0.3, 0, 0, 0.0063, 
    0, 0.024, 0, 0.012, 0, 0.011, 0.0026, 0.038, 0, 0.0084, 0, 
    0.023, 0.0067, 0.13, 0, 0.023, 0, 0.12, 0, 0.021, 0.011, 
    0, 0, 0, 0.037, 0, 0.015, 0, 0.029, 0, 0.01, 0.0049, 0.017, 
    0.018, 0, 0, 0.01, 0.0082, 0.0055, 0.022, 0, 0.15, 0.0012, 
    0, 0.023, 0.012, 0, 0, 0, 0.13, 0.039, 0.022, 0, 0.004, 0.074, 
    0, 0.002, 0, 0, 0.027, 0, 0.022, 0, 0.021, 0.0073, 0, 0, 
    0, 0, 0, 0, 0.014, 0.025, 0.05, 0.0097, 0, 0, 0.024, 0.073, 
    0, 0, 0, 0.025, 0, 0.03, 0.00073, 0.027, 0.0058, 0, 0.023, 
    0.035, 0.022, 0, 0.03, 0.067, 0, 0.017, 0, 0.087, 0.0022, 
    0.031, 0, 0.019, 0.026, 0, 0, 0, 0.0086, 0.016, 0, 0.011, 
    0.017, 0.0033, 0, 0.023, 0.013, 0, 0.00016, 0.016, 0, 0.027, 
    0.0026, 0.015, 0, 0, 0.054, 0.022, 0.015, 0, 0, 0.013, 0.018, 
    0, 0, 0.0048, 0.039, 0, 0, 0.053, 0.021, 0, 0.014, 0.0097, 
    0.0042, 0.02, 0.02, 0, 0.055, 0.021, 0.02, 0.0069, 0.013, 
    0.33, 0.0013, 0, 0.017, 0, 0.026, 0.018, 0, 0.015, 0.022, 
    0, 0.14, 0, 0.02, 0, 0, 0.033, 0.11, 0.016, 0, 0, 0, 0, 0, 
    0.0085, 0.0012, 0.0083, 0, 0.034, 0.033, 0.0089, 0, 0.014, 
    0.021, 0, 0.019, 0.0019, 0, 0.014, 0, 0, 0, 0.018, 0, 0, 
    0.022, 0.00082, 0.0095, 0.0088), maxByCpG = c(NA, 0.97, 1, 
    0.58, 0.96, 0.99, 0.94, 0.96, 0.65, 1, 0.77, 0.99, 0.96, 
    0.41, 0.96, 0.92, 0.97, 0.72, 0.92, 0.35, 0.96, 0.98, 0.9, 
    0.62, 0.94, 0.94, 0.61, 0.98, 0.59, 0.97, 0.95, 0.44, 0.98, 
    0.56, 0.77, 0.99, 0.7, 0.71, 0.72, 0.99, 0.97, 1, 0.51, 0.9, 
    0.51, 0.67, 0.52, 0.52, 0.87, 0.72, 0.93, 0.99, 0.95, 0.34, 
    0.91, 0.95, 1, 0.99, 0.96, 0.98, 0.99, 0.72, 0.61, 0.64, 
    0.3, 0.93, 0.61, 0.97, 0.68, 0.31, 0.98, 0.92, 0.98, 0.82, 
    0.99, 0.99, 0.98, 0.74, 0.82, 0.51, 0.54, 0.78, 0.75, 0.95, 
    0.98, 0.46, 1, 0.94, 0.97, 0.88, 0.83, 0.52, 0.95, 0.87, 
    0.71, 1, 0.97, 0.68, 0.4, 0.49, 0.61, 0.95, 0.93, 0.5, 0.99, 
    0.68, 0.94, 1, 0.64, 0.95, 0.96, 0.15, 0.27, 0.97, 0.91, 
    0.89, 1, 0.86, 0.96, 0.9, 0.65, 0.38, 0.62, 0.86, 0.99, 0.59, 
    0.49, 1, 0.78, 0.96, 0.67, 0.35, 0.97, 0.97, 0.98, 0.62, 
    0.97, 0.96, 0.98, 0.34, 0.22, 0.86, 0.4, 1, 0.96, 0.82, 0.34, 
    0.22, 0.81, 1, 0.65, 0.61, 0.95, 0.54, 0.87, 0.46, 0.91, 
    0.99, 0.95, 0.96, 0.97, 0.63, 0.72, 0.23, 0.48, 1, 0.96, 
    0.99, 0.98, 0.38, 0.99, 0.5, 0.29, 0.74, 0.71, 0.59, 0.29, 
    0.92, 0.4, 0.84, 0.39, 0.79, 0.83, 0.85, 0.95, 0.56, 0.52, 
    0.86, 0.68, 0.93, 0.65, 0.99, 0.56, 0.98, 0.9, 0.94, 0.98, 
    0.99, 0.23, 0.72, 0.94, 0.93, 0.97, 0.51, 0.77, 0.97, 0.95, 
    0.95, 0.15, 0.97, 0.4, 0.4, 0.95, 0.98, 0.97, 0.89, 0.95, 
    0.49, 0.17, 0.19, 0.82, 0.46, 0.99, 0.96, 0.93, 0.88, 0.94, 
    0.97, 1, 0.13, 0.53, 0.95, 0.93, 0.33, 0.96, 0.83, 0.3, 0.94, 
    0.97, 0.96, 0.4, 0.58, 0.89, 0.96, 0.47, 0.36, 0.92, 1, 0.94, 
    1, 0.61, 0.98, 0.97, 0.96, 0.94, 1, 0.93, 0.94, 0.72, 0.77, 
    0.87, 0.63, 0.33, 0.99, 0.71, 0.76, 0.13, 0.84, 0.84, 0.96, 
    0.89, 0.92, 0.57, 0.94, 0.98, 0.58, 0.35, 0.77, 0.96, 0.91, 
    0.89, 0.83, 0.58, 0.41, 0.26, 0.84, 0.99, 0.53, 0.78, 0.97, 
    0.95, 0.96, 0.51, 0.46, 0.64, 0.83, 0.99, 0.91, 0.94, 0.98, 
    0.9, 0.96, 0.35, 0.28, 0.96, 0.99, 0.97, 0.64, 0.68, 0.86, 
    0.97, 0.98, 0.33, 0.68, 0.72, 0.98, 1, 0.95, 0.56, 0.83, 
    1, 0.95, 1, 0.43, 0.66, 0.89, 0.99, 0.96, 0.21, 0.41, 0.97, 
    0.59, 0.97, 0.95, 0.97, 0.99, 0.94, 0.87, 0.95, 0.65, 0.78, 
    0.96, 0.81, 0.41, 0.98, 0.91, 0.37, 0.97, 0.86, 0.73, 0.61, 
    0.85, 0.84, 0.6), medianByCpG = c(NA, 0.75, 0.89, 0.049, 
    0.24, 0.071, 0.53, 0.82, 0.041, 0.71, 0.036, 0.065, 0.49, 
    0.056, 0.09, 0.024, 0.85, 0.19, 0.18, 0.029, 0.43, 0.86, 
    0.39, 0.059, 0.056, 0.5, 0.082, 0.84, 0.11, 0.057, 0.43, 
    0.11, 0.83, 0.11, 0.091, 0.24, 0.23, 0.32, 0.09, 0.85, 0.82, 
    0.9, 0.035, 0.22, 0.021, 0.059, 0.098, 0.044, 0.1, 0.16, 
    0.6, 0.07, 0.83, 0.04, 0.7, 0.22, 0.98, 0.48, 0.055, 0.9, 
    0.91, 0.082, 0.045, 0.053, 0.041, 0.17, 0.057, 0.67, 0.049, 
    0.021, 0.85, 0.036, 0.93, 0.032, 0.13, 0.91, 0.87, 0.084, 
    0.11, 0.057, 0.032, 0.2, 0.11, 0.13, 0.91, 0.09, 0.88, 0.057, 
    0.86, 0.2, 0.069, 0.066, 0.13, 0.45, 0.24, 0.87, 0.83, 0.14, 
    0.032, 0.058, 0.039, 0.72, 0.35, 0.072, 0.059, 0.032, 0.046, 
    0.84, 0.044, 0.44, 0.79, 0.014, 0.074, 0.52, 0.057, 0.14, 
    0.66, 0.04, 0.041, 0.3, 0.094, 0.062, 0.066, 0.13, 0.92, 
    0.13, 0.07, 0.88, 0.19, 0.045, 0.077, 0.049, 0.84, 0.87, 
    0.05, 0.055, 0.8, 0.42, 0.0092, 0.045, 0.032, 0.37, 0.088, 
    0.91, 0.84, 0.12, 0.054, 0.033, 0.16, 0.92, 0.066, 0.043, 
    0.21, 0.044, 0.3, 0.025, 0.27, 0.6, 0.17, 0.6, 0.62, 0.018, 
    0.13, 0.031, 0.13, 0.88, 0.78, 0.054, 0.26, 0.061, 0.9, 0.037, 
    0.061, 0.16, 0.031, 0.083, 0.025, 0.51, 0.06, 0.081, 0.057, 
    0.1, 0.054, 0.23, 0.43, 0.072, 0.092, 0.046, 0.046, 0.35, 
    0.062, 0.88, 0.066, 0.05, 0.7, 0.59, 0.26, 0.72, 0.069, 0.058, 
    0.094, 0.078, 0.77, 0.13, 0.14, 0.81, 0.45, 0.48, 0.0098, 
    0.22, 0.064, 0.04, 0.76, 0.06, 0.32, 0.27, 0.46, 0.061, 0.041, 
    0.045, 0.046, 0.072, 0.9, 0.17, 0.14, 0.25, 0.68, 0.23, 0.095, 
    0.033, 0.1, 0.55, 0.11, 0.044, 0.034, 0.13, 0.033, 0.33, 
    0.48, 0.38, 0.11, 0.039, 0.32, 0.48, 0.067, 0.038, 0.39, 
    0.85, 0.042, 0.39, 0.062, 0.9, 0.56, 0.65, 0.17, 0.76, 0.12, 
    0.024, 0.12, 0.18, 0.39, 0.056, 0.033, 0.9, 0.084, 0.3, 0.041, 
    0.15, 0.1, 0.35, 0.26, 0.31, 0.057, 0.18, 0.19, 0.17, 0.049, 
    0.11, 0.33, 0.43, 0.43, 0.065, 0.03, 0.044, 0.061, 0.26, 
    0.47, 0.11, 0.12, 0.032, 0.052, 0.52, 0.16, 0.1, 0.16, 0.14, 
    0.11, 0.46, 0.13, 0.048, 0.51, 0.63, 0.081, 0.07, 0.07, 0.93, 
